"bot","username","cnt"
false,"Majdabuamer","2"
false,"Akocsg","2"
false,"Charles01","2"
false,"Yuanga","2"
false,"Alan ffm","2"
false,"Svejk74","2"
false,"90.58.152.247","2"
false,"109.197.85.237","2"
false,"Sudzuki Erina","2"
false,"GoodDay","2"
false,"AndreiK","2"
false,"Szoltys","2"
false,"109.65.3.24","2"
false,"Yahya Talatin","2"
false,"Wuselig","2"
false,"Bramfab","2"
false,"PhilosMYK1978","2"
false,"Sportsmen tmn","2"
false,"AnBuKu","2"
false,"Bamyers99","2"
false,"DENAMAX","2"
false,"Yobdjdnfncjfnfncjf","2"
false,"218.191.98.224","2"
false,"Andres Monge","2"
false,"Тарас Самборський","2"
false,"Saginet55","2"
false,"Myasuda","2"
false,"Pelotas","2"
false,"82.128.245.244","2"
false,"Sargoth","2"
false,"Mathildeglin","2"
false,"Bankster","2"
false,"OTAVIO1981","2"
false,"191.125.185.138","2"
false,"Kak69032","2"
false,"J. Patrick Fischer","2"
false,"Рейму Хакурей","2"
false,"Sarnold17","2"
false,"170.173.0.16","2"
false,"Dema1234","2"
false,"Jasper Deng","2"
false,"81.131.117.224","2"
false,"Yashmathur45","2"
false,"Fauvirt","2"
false,"Melv20","2"
false,"2001:8003:3593:B100:6501:B34C:A7C7:F676","2"
false,"Mervat Salman","2"
false,"Markaneko","2"
false,"Gman83","2"
false,"Stuttenkerl","2"
false,"86.68.66.184","2"
false,"B63cdf194d0bb00ae19d1bc56e7736eba2dca8","2"
false,"Loraof","2"
false,"Buffaboy","2"
false,"Kobedove","2"
false,"5.226.75.2","2"
false,"Deux Cent Seize","2"
false,"Rmcharb","2"
false,"Py4nf","2"
false,"Gregoriomagno","2"
false,"Gaknowitall","2"
false,"72.223.2.49","2"
false,"XanaG","2"
false,"TwoWings","2"
false,"Fallaner","2"
false,"2600:1:F218:493E:94BE:9792:5781:E147","2"
false,"72.239.6.168","2"
false,"2601:405:8501:A99E:ECD5:BD7D:88DD:7C65","2"
false,"Samantha (Wiki Ed)","2"
false,"240F:7B:B618:1:807F:B0C8:3596:2B86","2"
false,"Farawahar","2"
false,"Dzombijaner","2"
false,"Acad Ronin","2"
false,"FERREIRA","2"
false,"Andropov","2"
false,"Silltruten","2"
false,"Nightflyer","2"
false,"Disneyisatale","2"
false,"White Arabian Filly","2"
false,"Jivee Blau","2"
false,"Rjensen","2"
false,"SlimVirgin","2"
false,"MartinGoins","2"
false,"Medeis","2"
false,"Nicat49","2"
false,"Riwnodennyk","2"
false,"Abce2","2"
false,"Kevin Dewitt","2"
false,"Lesless","2"
false,"BlewsClews","2"
false,"Fuseau","2"
false,"Hector H","2"
false,"154.121.8.17","2"
false,"Bdijkstra","2"
false,"JacobTa20","2"
false,"79.27.2.129","2"
